customer_id,first_name,last_name,gender,age,city,state,country,signup_date,customer_segment
1,Isaac,Bakshi,Male,69,Sambalpur,West Bengal,India,2023-08-12,Regular
2,Liam,Chaudry,Male,56,Gudivada,Andhra Pradesh,India,2025-04-20,VIP
3,Azad,Balan,Male,28,Bellary,West Bengal,India,2023-09-10,Regular
4,Yashasvi,Bala,Female,57,Bongaigaon,West Bengal,India,2025-04-13,VIP
5,Thomas,Sen,Female,19,Chennai,West Bengal,India,2023-01-27,Premium
6,Pahal,Oak,Female,19,Bhatpara,Delhi,India,2023-07-18,Regular
7,Gayathri,Chaudry,Female,39,Nadiad,Rajasthan,India,2022-07-15,Regular
8,Jagrati,Padmanabhan,Male,59,Varanasi,Tamil Nadu,India,2025-08-15,VIP
9,Jeet,Radhakrishnan,Female,20,Suryapet,Delhi,India,2024-03-16,VIP
10,Janaki,Handa,Male,38,Ranchi,Rajasthan,India,2023-08-27,VIP
11,Bimala,Buch,Female,21,Salem,Rajasthan,India,2024-12-12,Premium
12,Arunima,Setty,Female,26,Ujjain,Andhra Pradesh,India,2024-11-11,Regular
13,Isha,Kadakia,Female,37,Madurai,Kerala,India,2023-03-03,Regular
14,Yash,Gade,Female,64,Nadiad,Tamil Nadu,India,2024-01-04,Premium
15,Theodore,Nair,Male,53,Berhampur,Karnataka,India,2021-12-26,Premium
16,Diya,Rattan,Female,23,Amritsar,Gujarat,India,2023-07-05,Premium
17,Divya,Kala,Female,46,Tenali,Karnataka,India,2025-08-13,Premium
18,Luke,Lanka,Female,51,Shahjahanpur,Andhra Pradesh,India,2026-06-28,Premium
19,Adya,Sangha,Female,31,Mirzapur,West Bengal,India,2023-07-31,Premium
20,Lakshit,Upadhyay,Male,57,Mysore,Delhi,India,2022-02-11,Regular
21,Imaran,Dua,Female,64,Bhusawal,Delhi,India,2022-04-03,Premium
22,Lekha,Raj,Male,62,Dehri,Rajasthan,India,2023-11-08,Regular
23,Advay,Contractor,Male,62,Mau,Telangana,India,2022-08-30,Regular
24,Chaaya,Saran,Male,26,Malda,West Bengal,India,2021-09-28,Regular
25,Adya,Tella,Female,25,Guna,West Bengal,India,2022-08-14,VIP
26,Chanchal,Tripathi,Male,68,Jamnagar,Telangana,India,2024-11-22,VIP
27,Neel,Zacharia,Male,50,Khora ,Delhi,India,2024-06-21,Premium
28,Vrinda,Bahl,Male,58,Mirzapur,Kerala,India,2024-04-30,Regular
29,Wriddhish,Bhardwaj,Female,29,Tezpur,Karnataka,India,2022-05-20,Regular
30,Frederick,Sunder,Female,40,Katihar,West Bengal,India,2022-10-13,Regular
31,Kabir,Soman,Male,61,Bilaspur,West Bengal,India,2026-03-15,Premium
32,Pallavi,Kakar,Male,52,Bijapur,Telangana,India,2025-02-08,VIP
33,Kashvi,Sarma,Male,64,Jamshedpur,Tamil Nadu,India,2023-10-28,Regular
34,Umang,Bhatt,Male,43,Jaipur,Kerala,India,2026-06-04,VIP
35,Victor,Kannan,Female,56,Madurai,Rajasthan,India,2022-03-19,VIP
36,Veer,Bir,Male,43,Bathinda,Andhra Pradesh,India,2022-04-26,Regular
37,Yoshita,Khanna,Male,49,Shivpuri,Kerala,India,2023-07-15,Regular
38,Kevin,Solanki,Female,49,Bhalswa Jahangir Pur,Maharashtra,India,2025-03-05,Premium
39,Ranveer,Chandra,Male,40,Chinsurah,Kerala,India,2024-09-22,Regular
40,Pallavi,Roy,Male,60,Meerut,Maharashtra,India,2022-07-20,Regular
41,Darsh,Rau,Female,24,Moradabad,Tamil Nadu,India,2023-10-30,Premium
42,Rehaan,Gupta,Female,19,Kolhapur,Andhra Pradesh,India,2025-04-20,Regular
43,Qadim,Mallick,Female,23,Kulti,Maharashtra,India,2022-05-10,Premium
44,Saanvi,Chaudhari,Female,28,Panvel,Andhra Pradesh,India,2021-11-02,VIP
45,Girik,Khalsa,Female,42,Vellore,Kerala,India,2025-11-04,Premium
46,Vasana,Kala,Male,18,Allahabad,Rajasthan,India,2023-02-11,VIP
47,Ladli,Agate,Female,69,Bilaspur,Rajasthan,India,2025-08-01,VIP
48,Bhavika,Sampath,Male,23,Bhatpara,West Bengal,India,2023-04-30,VIP
49,Chaman,Kalla,Male,54,Adoni,Telangana,India,2026-04-29,VIP
50,Darsh,Murthy,Female,61,Dhanbad,West Bengal,India,2025-10-08,VIP
51,Yadavi,Wali,Male,49,Howrah,West Bengal,India,2026-01-12,Regular
52,Faris,Grewal,Female,66,Hindupur,Telangana,India,2022-04-17,Premium
53,Wahab,Raval,Female,29,Jehanabad,Kerala,India,2023-10-22,Premium
54,Balveer,Bumb,Male,66,Ballia,Delhi,India,2026-07-10,Regular
55,Diya,Lal,Female,34,Satara,Telangana,India,2023-09-29,Premium
56,Alka,Randhawa,Female,45,Dewas,Gujarat,India,2025-08-08,VIP
57,Diya,Bora,Male,49,Berhampore,Telangana,India,2026-07-03,Regular
58,Harish,Borah,Male,19,Guna,Delhi,India,2023-12-20,Premium
59,Kevin,Palla,Female,23,Sambalpur,Kerala,India,2024-11-09,VIP
60,Bhavani,Dugar,Male,34,Tinsukia,Gujarat,India,2024-04-14,Regular
61,Abhiram,Mistry,Female,51,Guntur,Gujarat,India,2023-12-18,Premium
62,Jack,Chhabra,Male,65,Darbhanga,Telangana,India,2024-02-10,Regular
63,Shivansh,Oza,Female,23,Bilaspur,Tamil Nadu,India,2026-01-05,VIP
64,Vrinda,Krishnamurthy,Female,36,Tiruchirappalli,Andhra Pradesh,India,2025-04-26,VIP
65,Aradhana,Basu,Male,36,Thoothukudi,Maharashtra,India,2022-10-29,VIP
66,Adweta,Edwin,Female,58,Suryapet,Telangana,India,2025-05-08,VIP
67,Aditya,Choudhury,Female,57,Jalgaon,Telangana,India,2026-05-10,VIP
68,Balendra,Pingle,Female,42,Chinsurah,Karnataka,India,2022-10-18,VIP
69,Benjamin,Morar,Male,47,Thane,Andhra Pradesh,India,2024-10-03,VIP
70,Shivansh,Krish,Male,33,Raichur,Andhra Pradesh,India,2026-06-23,Regular
71,Niharika,Dubey,Female,66,Ujjain,Karnataka,India,2023-03-22,Regular
72,Nitara,Bakshi,Female,29,Thoothukudi,Delhi,India,2025-03-20,Regular
73,Yuvraj,Loke,Female,26,Moradabad,Rajasthan,India,2024-12-19,VIP
74,Balvan,Singhal,Male,65,Kollam,Tamil Nadu,India,2025-08-18,Premium
75,Inaya,Mody,Female,50,Rajahmundry,West Bengal,India,2021-11-30,VIP
76,Reyansh,Rastogi,Male,25,Alwar,Maharashtra,India,2022-04-21,Premium
77,Arya,Panchal,Female,37,Jorhat,Tamil Nadu,India,2024-07-12,Premium
78,Ayaan,D’Alia,Male,52,Mangalore,Rajasthan,India,2023-12-21,Regular
79,Balvan,Chopra,Female,63,Hapur,Karnataka,India,2024-05-19,Premium
80,Rajata,Vaidya,Female,52,Kharagpur,Rajasthan,India,2026-08-14,Regular
81,Ranveer,Kumar,Female,50,Junagadh,Delhi,India,2021-09-23,VIP
82,Zinal,Yohannan,Male,34,Bharatpur,Telangana,India,2025-05-19,VIP
83,Ekaraj,Narayanan,Male,39,Amravati,Kerala,India,2024-04-08,Premium
84,Yashica,More,Female,47,Khammam,Gujarat,India,2025-02-19,Premium
85,Chakrika,Datta,Male,68,Bidar,Gujarat,India,2024-12-08,VIP
86,Owen,Mitra,Male,51,Motihari,Delhi,India,2021-09-19,Premium
87,Daksha,Mangat,Male,45,Chinsurah,Telangana,India,2024-06-15,Regular
88,Udyati,Sathe,Female,65,Kakinada,Tamil Nadu,India,2026-01-23,VIP
89,Urvashi,Gara,Female,66,Anantapuram,Telangana,India,2026-02-05,Premium
90,Gautami,Chander,Male,63,Tirupati,Delhi,India,2023-08-16,Premium
91,Rushil,Din,Male,58,Ranchi,Delhi,India,2023-10-18,Regular
92,Vaishnavi,Bora,Male,63,Vijayanagaram,Delhi,India,2026-08-11,VIP
93,Robert,Rajagopalan,Male,50,Silchar,Maharashtra,India,2023-10-16,VIP
94,Manbir,Ahluwalia,Male,38,Khandwa,Kerala,India,2023-07-29,Regular
95,Patrick,Vasa,Female,20,Dhanbad,Karnataka,India,2026-06-15,Regular
96,Zaid,Dara,Female,48,Guntur,Gujarat,India,2025-08-31,Premium
97,Edhitha,Savant,Male,57,Motihari,West Bengal,India,2025-07-04,Premium
98,Nathan,Soman,Female,64,Rampur,Gujarat,India,2023-10-26,VIP
99,Aradhana,Verma,Female,44,Mathura,Andhra Pradesh,India,2024-01-19,Premium
100,Ria,Brahmbhatt,Female,34,Noida,West Bengal,India,2024-01-10,Regular
101,Gautami,Nagarajan,Male,60,Durgapur,Gujarat,India,2022-12-30,VIP
102,Vihaan,Rajagopal,Male,59,Kakinada,Kerala,India,2022-04-05,Premium
103,Oeshi,Reddy,Male,67,Hosur,Rajasthan,India,2025-09-04,Regular
104,Ojasvi,Bhatia,Female,24,Bidar,Rajasthan,India,2025-01-10,Regular
105,Anmol,Rai,Female,18,Chennai,West Bengal,India,2024-09-14,Premium
106,Chanchal,Ramakrishnan,Female,31,Siwan,Tamil Nadu,India,2026-05-11,VIP
107,Thomas,Sura,Male,45,Darbhanga,Karnataka,India,2025-06-03,Premium
108,Vedika,Balakrishnan,Female,40,Naihati,Gujarat,India,2025-02-25,VIP
109,Noah,Sibal,Male,39,Deoghar,Andhra Pradesh,India,2021-12-10,Premium
110,Meera,Bala,Female,66,Haldia,Maharashtra,India,2022-11-13,Premium
111,Triya,Gopal,Female,32,Bhilwara,Gujarat,India,2024-12-08,VIP
112,Falak,Kakar,Female,54,Khammam,Telangana,India,2024-08-01,Regular
113,Ladli,Mall,Female,61,Nizamabad,Delhi,India,2022-05-30,VIP
114,Upma,Bahl,Female,23,Etawah,Maharashtra,India,2023-08-15,Premium
115,Ekapad,Baria,Male,52,Shahjahanpur,Kerala,India,2023-05-30,Regular
116,Anmol,Dua,Female,59,Cuttack,Tamil Nadu,India,2025-09-28,Regular
117,Ishwar,Kamdar,Female,36,Bardhaman,Andhra Pradesh,India,2024-11-07,VIP
118,Oliver,Contractor,Female,54,Bijapur,Andhra Pradesh,India,2022-08-19,Regular
119,Atharv,Muni,Female,40,Sikar,Rajasthan,India,2023-05-27,Regular
120,Faqid,Kibe,Male,18,Barasat,Karnataka,India,2022-09-29,Premium
121,Benjamin,Palan,Female,65,Uluberia,Rajasthan,India,2022-04-20,Regular
122,Yashawini,Om,Male,18,Bidar,Kerala,India,2025-11-19,VIP
123,Hitesh,Sant,Male,39,Jaunpur,Kerala,India,2023-01-06,VIP
124,Radhika,Goda,Female,43,Tadepalligudem,Tamil Nadu,India,2026-04-17,Regular
125,Veda,Shroff,Female,46,Guntakal,Delhi,India,2023-12-30,VIP
126,Ekantika,Korpal,Male,47,Alwar,Maharashtra,India,2025-07-19,Regular
127,Yagnesh,Shetty,Female,33,Naihati,Andhra Pradesh,India,2021-12-16,Premium
128,Warda,Nair,Female,38,Morbi,Kerala,India,2023-07-09,Regular
129,Isha,Kuruvilla,Female,47,Parbhani,Delhi,India,2024-01-24,VIP
130,Advaith,Varughese,Female,27,Guwahati,Gujarat,India,2023-10-07,Regular
131,Niharika,Suresh,Female,51,Fatehpur,Maharashtra,India,2025-11-20,VIP
132,Sara,Badal,Female,36,Durg,Andhra Pradesh,India,2023-08-07,Regular
133,Nidhi,Kohli,Female,22,Amaravati,Maharashtra,India,2024-11-07,VIP
134,Urvashi,Wali,Female,66,Khandwa,Maharashtra,India,2026-05-24,Premium
135,Ganga,Pandey,Male,50,Gopalpur,Telangana,India,2024-04-27,Regular
136,Zayan,Kashyap,Male,60,Nellore,Delhi,India,2024-05-25,VIP
137,Jagdish,Wason,Male,50,Nellore,West Bengal,India,2023-07-22,Premium
138,Veda,Malhotra,Male,61,Salem,Karnataka,India,2023-05-14,Regular
139,Chaman,Karan,Male,67,Mangalore,Tamil Nadu,India,2024-04-14,VIP
140,Akshay,Walla,Male,43,Panipat,West Bengal,India,2022-02-06,Regular
141,Chatura,Master,Female,27,Pallavaram,Andhra Pradesh,India,2022-08-02,Premium
142,Advik,Mane,Female,68,Nangloi Jat,Rajasthan,India,2025-06-17,VIP
143,Harini,Gour,Female,67,Nizamabad,West Bengal,India,2025-10-11,Regular
144,Ishaan,Bhattacharyya,Male,53,Pallavaram,Andhra Pradesh,India,2022-05-06,Regular
145,Chatresh,Doshi,Male,41,Phusro,Tamil Nadu,India,2024-04-18,Regular
146,Frederick,Kothari,Male,65,Proddatur,Maharashtra,India,2025-04-03,Premium
147,Upkaar,Virk,Male,56,Hospet,West Bengal,India,2025-06-24,VIP
148,Chameli,Sanghvi,Female,49,Jehanabad,Delhi,India,2022-03-24,Regular
149,Hardik,Johal,Male,30,Bilaspur,Kerala,India,2022-05-28,Regular
150,Naksh,Khatri,Male,58,Suryapet,Telangana,India,2022-05-09,Regular
151,Naksh,Agate,Female,37,Hospet,Rajasthan,India,2025-09-16,Premium
152,Bishakha,Bali,Male,36,Tumkur,Telangana,India,2024-02-13,Regular
153,Sudiksha,Bobal,Male,36,Bilaspur,Rajasthan,India,2023-05-25,VIP
154,Pavani,Contractor,Female,31,Jalgaon,Maharashtra,India,2023-12-22,VIP
155,Lucky,Bora,Female,64,Dehradun,Delhi,India,2024-04-30,Regular
156,Bhavya,Sarna,Male,29,Bhind,Rajasthan,India,2024-04-19,VIP
157,Neha,Magar,Male,53,Bahraich,Delhi,India,2022-05-25,VIP
158,Balveer,Sankaran,Female,56,Mahbubnagar,Delhi,India,2023-11-04,Premium
159,Atharv,Chand,Female,56,Ramgarh,Andhra Pradesh,India,2021-11-21,Regular
160,Amruta,Baria,Male,40,Nandyal,Karnataka,India,2026-02-16,VIP
161,Riya,Mall,Female,26,Bhimavaram,Andhra Pradesh,India,2025-06-03,Premium
